maneuver,mux,muy,sigx,sigy,time
3,117.28508,-7.2799354,0.029496765,0.07522835,7.4
3,122.41436,-7.5841537,0.025290832,0.0684466,7.6000000000000005
3,126.95288,-7.9170575,0.022773191,0.06317174,7.800000000000001
3,130.39316,-8.282299,0.022015268,0.060845073,8.0
3,132.65016,-8.581466,0.022019515,0.06038064,8.200000000000001
3,133.64616,-8.747023,0.022336483,0.06147277,8.4
3,133.62639,-8.79873,0.023100723,0.06389472,8.6
3,132.52345,-8.76394,0.025520336,0.06912014,8.8
3,130.10811,-8.633271,0.031574056,0.079550706,9.0
3,127.8128,-8.491599,0.03866183,0.08977649,9.200000000000001
3,126.14895,-8.379083,0.044673298,0.09718143,9.4
3,124.4118,-8.25509,0.05131104,0.10544625,9.600000000000001
3,121.86558,-8.089308,0.060894374,0.11835899,9.8
4,2.7429805,1.0675392,0.09877946,0.19619523,0.0
4,5.907756,0.72919136,0.03873348,0.10411162,0.2
4,7.8495693,0.68649304,0.029703412,0.08359013,0.4
4,9.830103,0.5674521,0.027780678,0.08086782,0.6000000000000001
4,11.888815,0.3794921,0.027993424,0.08232883,0.8
4,14.464256,0.09632539,0.028060881,0.083362445,1.0
4,16.946014,-0.19865555,0.027277082,0.08196662,1.2000000000000002
4,19.59263,-0.5250413,0.026000906,0.07915554,1.4000000000000001
4,22.460743,-0.8788969,0.024639688,0.07653657,1.6
4,25.154776,-1.2365234,0.024185719,0.075540505,1.8
4,27.714605,-1.5814335,0.024349155,0.07473677,2.0
4,30.271986,-1.9295336,0.024278827,0.07453082,2.2
4,33.107407,-2.3379622,0.023273816,0.07483244,2.4000000000000004
4,35.54375,-2.6986697,0.022838244,0.075402066,2.6
4,37.78717,-2.9936686,0.023201117,0.07600191,2.8000000000000003
4,40.49824,-3.3479106,0.023345057,0.076119766,3.0
4,43.316315,-3.7394426,0.023397358,0.07526377,3.2
4,46.69499,-4.166256,0.023162141,0.07247576,3.4000000000000004
4,50.044815,-4.545958,0.022179838,0.071169876,3.6
4,53.029926,-4.7623014,0.021540795,0.0703105,3.8000000000000003
4,56.603127,-5.061545,0.020941777,0.06959504,4.0
4,57.938385,-5.1766257,0.020565845,0.069295496,4.2
4,60.563255,-5.542644,0.020342609,0.06944012,4.4
4,64.283325,-6.0364804,0.020205071,0.067730784,4.6000000000000005
4,66.56022,-6.3252974,0.020264026,0.06496798,4.800000000000001
4,69.0673,-6.6363006,0.019909756,0.059381366,5.0
4,72.71882,-7.0874295,0.019548384,0.059586354,5.2
4,74.69196,-7.306357,0.019481609,0.060027055,5.4
4,77.14576,-7.8346086,0.018777665,0.061021876,5.6000000000000005
4,79.277214,-8.191938,0.018449875,0.060826305,5.800000000000001
4,81.59647,-8.568004,0.018496517,0.060877852,6.0
4,83.92231,-8.88507,0.018470569,0.06037726,6.2
4,86.496346,-9.165353,0.018518768,0.059639025,6.4
